EVENT_LOG	DISCOVERY_ALG	ALIGN	PROP2	PROP	BL	FREQ_50	FREQ_25	TIME_ALIGN	TIME_PROP2	TIME_PROP	TIME_BL	TIME_FREQ_50	TIME_FREQ_25
BPI_Challenge_2020_PrepaidTravelCost	IMf	0.8486	0.8486	0.8486	0.9406	0.8659	0.8737	24.0668	6.74	7.05	2.39	5.107	2.3189
BPI_Challenge_2020_PrepaidTravelCost	IMd	0.7371	0.737	0.737	0.8936	0.7461	0.7525	5.9446	0.93	1.12	0.2	2.4924	1.2507
BPI_Challenge_2020_PrepaidTravelCost	ETM	0.9095	0.9095	0.9095	0.9097	0.925	0.9353	3.6741	0.36	0.4	0.2	1.4388	0.8223
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMf	0.8523	0.8523	0.8523	0.8548	0.8267	0.8038	85.3532	0.55	0.62	0.19	11.4929	6.0382
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMd	0.6931	0.6931	0.6931	0.7099	0.6777	0.6768	27.7431	1.43	1.5	0.18	6.282	3.0503
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	0.4844	0.4689	0.4689	0.6121	0.5427	0.4909	30.1167	0.77	0.83	0.27	4.3216	2.8026
BPI_Challenge_2014_Reference alignment	IMf	0.8595	0.8595	0.8595	0.8595	0.8794	0.8781	5.7029	0.49	0.53	0.44	2.0216	0.9518
BPI_Challenge_2014_Reference alignment	IMd	0.8596	0.8596	0.8596	0.8596	0.8796	0.8782	2.9265	0.51	0.57	0.45	1.6888	0.761
BPI_Challenge_2014_Reference alignment	ETM	0.9837	0.9829	0.9829	0.9996	0.9771	0.9773	22.7072	0.64	0.72	0.96	8.6784	3.1239
Hospital Billing - Event Log	IMf	0.821	0.821	0.821	0.8226	0.8765	0.8779	31.9458	3.86	4.41	0.83	13.246	4.3227
Hospital Billing - Event Log	IMd	0.9983	0.9983	0.9983	0.9983	0.9959	0.9982	22.1982	4.58	5.1	0.93	14.0713	4.5116
Hospital Billing - Event Log	ETM	0.9454	0.9454	0.9483	0.9568	0.937	0.9414	214.4781	34.63	25.77	3.53	56.4928	25.1609
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMf	0.5886	0.5886	0.8626	0.8859999999999999	0.5903	0.5978	346.5098	4.38	2.3	0.33	159.9011	61.2232
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMd	0.9982	0.9982	0.9982	0.9982	0.9969	0.9982	114.1373	2.57	3.13	0.85	67.3968	21.8231
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	0.7838	0.7296	0.7296	0.893	0.8067	0.8448	289.0525	2.48	2.61	0.29	184.8879	17.7828
Road_Traffic_Fine_Management_Process	IMf	0.7893	0.7893	0.7892	0.9176	0.8332	0.8329	6.0755	5.53	6.66	4.39	2.6501	1.546
Road_Traffic_Fine_Management_Process	IMd	0.5796	0.5796	0.5796	0.7948	0.5559	0.5555	12.364	1.74	2.01	0.75	6.6366	2.9595
Road_Traffic_Fine_Management_Process	ETM	0.84	0.84	0.84	0.84	0.8707	0.8709	2.8953	0.66	0.81	0.71	1.4305	1.0789
BPI_Challenge_2020_PermitLog	IMd	0.711	0.711	0.711	0.7368	0.7106	0.7117	288.495	112.86	121.0	3.25	139.9253	56.4672
BPI_Challenge_2020_PermitLog	ETM	0.7391	0.7003	0.7003	0.7502	0.7555	0.7683	222.0354	10.19	11.6	0.67	64.0623	16.4348
BPI_Challenge_2019_log_IEEE	ETM	0.8121	0.8121	0.8123	0.8139	0.8192	0.8327	149.6606	15.7	16.76	4.98	79.6646	23.6198
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMf	0.7852	0.7852	0.7859999999999999	0.7801	0.798	0.7777	2794.3016	18.6	27.46	1.2	1371.6526	392.7268
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMd	0.9073	0.9073	0.9073	0.9953	0.9039	0.8916	2732.5078	36.53	43.43	0.41	826.8487	234.9258
Sepsis Cases - Event Log	IMf	0.7929	0.7929	0.7929	0.7818	0.7893	0.7855	123.1398	2.65	3.07	0.36	49.8497	18.8308
Sepsis Cases - Event Log	IMd	0.7738	0.7738	0.7738	0.9999	0.7687	0.7692	112.5839	8.86	10.25	0.3	57.6561	26.4126
Sepsis Cases - Event Log	ETM	0.7541	0.7409	0.7340000000000001	0.8294	0.7516	0.707	475.2959	7.74	7.61	0.44	180.0759	86.1299
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	0.9368	0.9368	0.9368	0.9983	0.9523	0.965	4945.2399	97.3	113.2	0.81	4869.2377	4083.7934
BPI_Challenge_2013_open_problems	IMf	0.9783	0.9783	0.9783	0.9783	0.9798	0.9848	0.5252	0.13	0.2	0.11	0.1772	0.0756
