EVENT_LOG	DISCOVERY_ALG	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMd	0.9976	0.8697	0.5652	0.1978
BPI_Challenge_2013_open_problems.xes.gz	IMf	1.0	1.0	1.0	1.0
BPI_Challenge_2013_open_problems.xes.gz	IMd	1.0	1.0	0.836	0.6667
BPI_Challenge_2013_open_problems.xes.gz	ETM	0.0	0.0		
BPI_Challenge_2013_incidents.xes.gz	IMf	0.8597	0.6364	1.0	1.0
BPI_Challenge_2013_incidents.xes.gz	IMd	1.0	1.0	0.8529	0.6875
BPI_Challenge_2013_incidents.xes.gz	ETM	0.0	0.0		
BPI Challenge 2017.xes.gz	IMf	0.8441	0.2584	0.7101	0.4946
BPI Challenge 2017.xes.gz	IMd	0.8527	0.8371	0.4839	0.3326
BPI Challenge 2017.xes.gz	ETM	0.8343	0.1854	0.9365	0.925
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMf	0.9079	0.4872	0.4881	0.4872
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMd	0.963	0.5897	0.3773	0.3026
BPI_Challenge_2020_DomesticDeclarations.xes.gz	ETM	0.969	0.4615	0.6601	0.5405
5a_VARA_CIVEL_-_TJMT.xes	IMf	0.3873	0.2419	0.7754	0.6
5a_VARA_CIVEL_-_TJMT.xes	IMd	0.3966	0.2366	0.7624	0.6471
5a_VARA_CIVEL_-_TJMT.xes	ETM	0.6024	0.1774	0.9416	0.9211
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMf	0.6101	0.193	0.7248	0.6875
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMd	0.6811	0.3509	0.4782	0.3571
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	ETM	0.9307	0.2982	0.9697	0.9714
