event_log	algorithm	align_time_fit	align_time_pre	50_freq_fit	50_rand_fit	25_freq_fit	25_rand_fit	50_freq_pre	50_rand_pre	25_freq_pre	25_rand_pre	markov_fit_k_2	markov_pre_k_2
BPI_Challenge_2012	ETM	47.6709	213.362	22.7519	23.5396	9.6902	11.5821	102.0086	117.909	38.2536	60.7739	0.6547	0.6547
DocumentProcessingENG	ETM	0.5508	1.1531	0.1131	0.1134	0.0024	0.0023	0.4752	0.4691	0.0011	0.001	0.1671	0.1671
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	2437.9224	113.374	1022.6134	639.353	119.6791	767.5851	42.9913	42.2443	8.6434	26.6383	0.7175	0.7175
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	3861.5909	185.5248	2206.1699	1727.3781	540.7394	269.5891	116.8705	110.7088	29.8494	18.8126	0.6532	0.6532
BPI_Challenge_2020_InternationalDeclarations	ETM	28.9926	13.9352	13.5404	16.069	6.6904	7.7467	7.7469	8.9782	3.8188	5.1188	0.5284	0.5284
edited_hh104_weekends	ETM	2093.6059	110.4624	1248.8615	1169.3749	685.39	254.4345	50.1363	48.7415	27.5785	11.8597	1.0293	1.0293
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	1947.6557	143.47	1295.5196	763.3261	868.3531	546.471	82.8684	75.4431	48.8176	44.666	0.1069	0.1069
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	461.4538	45.523999999999994	113.6681	260.418	65.9474	249.5027	17.2095	25.2398	10.5347	21.2626	0.26289999999999997	0.26289999999999997
BPI_Challenge_2020_PrepaidTravelCost	ETM	3.6741	2.1551	1.4388	1.9205	0.8223	1.1106	1.0279	1.2733	0.6052	0.8104	0.044700000000000004	0.044700000000000004
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	289.0525	49.3429	184.8879	103.3534	17.7828	149.7946	25.6746	25.4571	7.6042	18.2578	0.0805	0.0805
BPI_Challenge_2020_PermitLog	ETM	222.0354	46.4671	64.0623	108.7259	16.4348	52.2988	17.5447	25.2528	6.5148	13.6917	0.31320000000000003	0.31320000000000003
BPI_Challenge_2019_log_IEEE	ETM	149.6606	1951.5781	79.6646	98.4761	23.6198	43.2106	537.5958	1104.8005	97.9289	529.1816	2.3038999999999996	2.3038999999999996
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	153.9442	37.7013	85.6926	72.4855	33.7617	43.0059	18.2127	16.3072	7.3237	9.6303	0.10520000000000002	0.10520000000000002
BPI_Challenge_2014_Reference alignment	ETM	22.7072	11.2427	8.6784	11.3435	3.1239	8.0113	3.7185	5.3542	1.8563	4.5974	0.3338	0.3338
Hospital Billing - Event Log	ETM	214.4781	41.2051	56.4928	117.806	25.1609	53.6992	19.2617	25.8913	6.4005	14.7932	8.150400000000001	8.150400000000001
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	ETM	30.1167	8.9883	4.3216	10.9964	2.8026	2.3253	1.8469	3.3266	0.7091	0.9127	0.0425	0.0425
Road_Traffic_Fine_Management_Process	ETM	2.8953	2.3676	1.4305	1.3885	1.0789	0.8338	1.3794	1.9387	1.3128	0.9596	0.6161000000000001	0.6161000000000001
BPI_Challenge_2020_DomesticDeclarations	ETM	3.5575	1.5081	1.1712	2.0955	0.4509	0.7969	0.7096	0.9066	0.3702	0.4937	0.1201	0.1201
5a_VARA_CIVEL_-_TJMT	ETM	486.11199999999997	23.8791	272.7375	114.8188	61.5351	286.0521	14.0781	10.6546	4.0654	11.5131	0.19069999999999998	0.19069999999999998
BPI Challenge 2017	ETM	7200.2854	2969.3053	-1.0	-1.0	-1.0	-1.0	1329.3932	1507.5666	496.0741	816.3419	3.8487	3.8487
Sepsis Cases - Event Log	ETM	475.2959	62.9181	180.0759	268.7633	86.1299	124.5266	24.2525	34.6539	11.8878	18.5968	0.7358	0.7358
BPI_Challenge_2013_incidents	ETM	8.1782	23.7256	3.8276	4.0472	1.742	2.1903	7.7324	15.6385	2.0671	7.0069	0.1628	0.1628
BPI_Challenge_2013_open_problems	ETM	0.6133	0.6238	0.2758	0.6221	0.1694	0.1419	0.1867	0.4176	0.0717	0.1961	1.9035000000000002	1.9035000000000002
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	ETM	7200.1722	794.3399	-1.0	-1.0	-1.0	-1.0	363.548	389.4824	142.6324	182.2757	2.7422	2.7422
