Justiça	Tribunal	UF	Tipo de unidade	Classificação da unidade	case:court:code	Unidade Judiciária	Município sede	Estoque	Taxa de congestionamento líquida	Taxa de congestionamento total
Justiça Estadual	TJSP	SP	-	-	81233	2VARA JUDICIAL DE SANTANA DE PARNAÍBA	SANTANA DE PARNAIBA	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	81234	3VARA JUDICIAL DE SANTANA DE PARNAÍBA	SANTANA DE PARNAIBA	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	81235	4VARA JUDICIAL DE SANTANA DE PARNAÍBA	SANTANA DE PARNAIBA	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	81259	ANEXO JUDICIARIO DA CASA DA MULHER BRASILEIRA	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	81266	2 OFICIO DE CRIMES TRIBUTÁRIOS ORGANIZAÇÃO CRIMINOSA E LAVAGEM DE BENS E VALORES	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	81264	1 OFICIO DE CRIMES TRIBUTÁRIOS ORGANIZAÇÃO CRIMINOSA E LAVAGEM DE BENS E VALORES	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	70687	JUIZADO ESPECIAL CIVEL CRIM. DE PIRAJU	PIRAJU	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	81359	VARA DA REGIAO LESTE 3 DE VIOL. DOMEST. E FAM. CONTRA A MULHER DE ITAQUERA	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	81371	ANEXO DO JUIZADO ESPECIAL DA FAZENDA PÚBLICA DE SÃO JOSÉ DO RIO PRETO	SAO JOSE DO RIO PRETO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	78458	GABINETE DE TRABALHO - NILTON SANTOS OLIVEIRA	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	77983	GABINETE DE TRABALHO - MARCIO EID SAMMARCO	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	76651	CARTÓRIO ANEXO DO JUIZADO ESPECIAL CÍVEL - FALC CARAPICUÍBA	CARAPICUIBA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10658	JUIZADO ESPECIAL CIVEL CRIM. DE SERRANA	SERRANA	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10655	JUIZADO ESPECIAL CIVEL CRIM. DE SERRA NEGRA	SERRA NEGRA	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10666	JUIZADO ESPECIAL CIVEL CRIM. DE SOCORRO	SOCORRO	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10663	VARA JUIZADO ESP. CIVEL CRIM. DE SERTAOZINHO	SERTAOZINHO	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10704	VARA JUIZADO ESP. CIVEL CRIM. DE SUZANO	SUZANO	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10711	JUIZADO ESPECIAL CIVEL CRIM. DE TAMBAU	TAMBAU	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10708	VARA JUIZADO ESP. CIVEL CRIM. DE TABOAO DA SERRA	TABOAO DA SERRA	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10676	01 VARA JUIZADO ESPECIAL CIVEL DE SOROCABA	SOROCABA	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	59953	VARA JUIZADO ESP. CRIM. E VIOL. DOMEST. E FAM. CONTRA A MULHER DE SOROCABA	SOROCABA	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10686	02 VARA JUIZADO ESPECIAL CIVEL DE SOROCABA	SOROCABA	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10694	VARA JUIZADO ESP. CIVEL CRIM. DE SUMARE	SUMARE	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10375	JUIZADO ESPECIAL CIVEL CRIM. DE SAO LUIS DO PARAITINGA	SAO LUIS DO PARAITINGA	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10381	JUIZADO ESPECIAL CIVEL CRIM. DE SAO MIGUEL ARCANJO	SAO MIGUEL ARCANJO	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10377	JUIZADO ESPECIAL CIVEL CRIM. DE SAO MANUEL	SAO MANUEL	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10920	01 VARA JUIZADO ESPECIAL CIVEL DE SAO JOSE DOS CAMPOS	SAO JOSE DOS CAMPOS	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	17913	02 VARA JUIZADO ESPECIAL CÍVEL DE SAO JOSE DOS CAMPOS	SAO JOSE DOS CAMPOS	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10919	VARA JUIZADO ESPECIAL CRIMINAL DE SAO JOSE DOS CAMPOS	SAO JOSE DOS CAMPOS	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10914	01 VARA JUIZADO ESPECIAL CIVEL DE SAO MIGUEL PAULISTA	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10628	JUIZADO ESPECIAL CIVEL CRIM. DE SAO PEDRO	SAO PEDRO	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10913	JUIZADO ESPECIAL CIVEL - ITAIM PAULISTA (CIC LESTE) DE SAO MIGUEL PAULISTA	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU	JE - JUIZADO ESPECIAL;	10652	VARA JUIZADO ESP. CIVEL CRIM DE SAO VICENTE	SAO VICENTE	0	0.0	0.0
