case:concept:name	CLUS_KME	CLUS_AGG	CLUS_ACT
1042_TRT8	0.8158	0.7059	0.9167
10430_TRT18	0.0789	0.5882	0.0
10432_TRT18	0.3158	0.5882	0.8333
10435_TRT18	0.1053	0.2941	0.3333
10439_TRT18	0.1053	0.2353	0.3333
1043_TRT11	0.1316	0.1765	0.4167
1043_TRT12	0.8421	0.8824	1.0
1043_TRT14	0.0789	0.0	0.75
1043_TRT20	0.8684	0.5882	0.25
1043_TRT22	0.1316	0.7059	0.9167
10441_TRT18	0.8158	0.5882	0.25
10443_TRT18	0.7895	0.5882	0.75
10446_TRT18	0.3158	0.5882	0.5833
10448_TRT18	0.6316	0.2353	0.9167
10449_TRT18	0.8158	0.5882	0.75
1044_TRT15	0.1316	0.2941	0.0833
1044_TRT20	0.8684	0.5882	0.9167
1044_TRT22	0.1316	0.7059	0.9167
1044_TRT4	0.4211	0.0588	0.0833
1044_TRT8	0.8158	0.5882	0.75
10450_TRT18	0.6316	0.2353	0.25
10453_TRT18	0.1053	0.4706	0.5
10455_TRT18	0.1053	0.2353	0.9167
10458_TRT18	0.7105	0.5882	0.5833
10459_TRT18	0.7895	0.5882	0.75
1045_TRT11	0.2632	0.4706	0.0833
1045_TRT12	1.0	0.6471	0.25
1045_TRT15	0.1316	0.2941	0.3333
1045_TRT20	0.8684	0.5882	0.3333
1045_TRT21	0.5263	0.8235	0.9167
1045_TRT4	0.7895	0.7647	0.8333
10460_TRT18	0.7105	0.5882	0.5833
10463_TRT18	0.1053	0.2353	0.4167
10464_TRT18	0.7895	0.5882	0.8333
10467_TRT18	0.1053	0.7059	0.4167
10469_TRT18	0.7895	0.5882	0.1667
1046_TRT11	0.1316	0.4706	0.1667
1046_TRT15	0.0	0.0	0.0833
1046_TRT20	0.8684	0.5882	0.9167
1046_TRT21	0.7105	0.5882	0.9167
10470_TRT18	0.5263	0.5882	0.5833
10474_TRT18	0.6316	0.2353	0.3333
10477_TRT18	0.6316	0.2353	0.5
10479_TRT18	0.6316	0.2353	0.1667
1047_TRT15	0.0263	0.1765	0.5
1047_TRT21	0.5263	0.8235	0.9167
1047_TRT22	0.1316	0.7059	0.9167
1047_TRT4	0.4211	0.7647	0.5
1047_TRT8	0.8158	0.5882	0.75
10480_TRT18	0.6316	0.2353	0.3333
10481_TRT18	0.1053	0.0588	0.9167
1048_TRT11	0.0789	0.4706	0.1667
1048_TRT14	0.3947	0.2941	0.3333
1048_TRT15	0.0	0.0588	0.0833
1048_TRT18	0.1053	0.2941	0.9167
1048_TRT21	0.5263	0.8235	0.3333
10497_TRT18	0.6316	0.1176	0.5833
1049_TRT11	0.2632	0.1765	0.0833
1049_TRT12	0.7105	0.8824	0.8333
1049_TRT15	0.0	0.0588	0.0833
1049_TRT21	0.5263	0.8235	0.0833
1049_TRT22	0.1316	0.7059	0.9167
1049_TRT4	0.7895	0.7647	0.1667
1049_TRT8	0.7105	0.5882	0.6667
104_TRT11	0.3947	0.4706	0.4167
104_TRT3	0.1053	0.4706	0.3333
104_TRT9	0.5789	0.4118	0.25
10500_TRT18	0.6316	0.1176	1.0
10503_TRT18	0.6316	0.2353	0.3333
10508_TRT18	0.1053	0.1176	1.0
10509_TRT18	0.1053	0.2353	0.5
1050_TRT11	0.1316	0.1765	0.25
1050_TRT15	0.5526	0.4706	0.3333
1050_TRT21	0.5263	0.8235	0.0833
1050_TRT4	0.4211	0.7647	0.8333
10511_TRT18	0.7895	0.5882	0.8333
