exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI
0	2	1	0.3	0.86	0.023577514939006	(0.9410032336118038, 5)
0	2	1	0.3	0.969	0.13252326455371	(0.8434551046869276, 4)
0	2	1	0.3	0.978	-0.001209945288535	(0.7787584018832665, 5)
0	2	1	0.3	1.066	0.220260554020313	(0.7176838569661856, 5)
0	2	1	0.3	1.135	0.018259533148141	(0.6356881486526115, 5)
0	2	1	0.5	1.52	0.063861902229041	(0.778495373236366, 5)
0	2	1	0.5	1.246	0.230026121189485	(0.8470097471074399, 5)
0	2	1	0.5	1.624	0.200544816053512	(0.988950000337542, 5)
0	2	1	0.5	1.481	0.360269038208169	(1.0, 5)
0	2	1	0.5	1.395	0.116556428817626	(0.9800721166623607, 5)
0	2	1	0.7	1.096	0.087372882964988	(1.0, 4)
0	2	1	0.7	1.16	0.103943817878028	(1.0, 4)
0	2	1	0.7	0.945	0.199606354959368	(0.8190247733067368, 4)
0	2	1	0.7	1.094	0.333258191911293	(0.5984983390812697, 5)
0	2	1	0.7	1.014	0.247340199372839	(0.5918062607239476, 5)
0	2	2	0.3	0.999	0.102284733426284	(0.7334626728200907, 5)
0	2	2	0.3	0.926	0.046618323966233	(0.7136625631830682, 5)
0	2	2	0.3	1.219	0.200283130168451	(0.7764816894769574, 5)
0	2	2	0.3	1.498	0.247316875202767	(0.9783400021125057, 5)
0	2	2	0.3	1.12	0.155454363170505	(0.6044096480566645, 5)
0	2	2	0.5	1.221	0.250687905298012	(0.9001775095156033, 5)
