	exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI	eps	balance
651	2	2	3	0.5	1.696	0.2582	0.9461	5	0.24428302
1075	4	1	3	0.7	2.069	0.2525	0.9672	5	0.244218
59	0	0	3	0.7	1.592	0.3054	0.7964	5	0.24322056
468	1	3	3	0.3	1.329	0.243	1	5	0.243
440	1	3	1	0.5	2.055	0.2427	1	4	0.2427
691	2	3	2	0.3	1.727	0.2423	1	5	0.2423
153	0	2	2	0.3	1.498	0.2473	0.9783	5	0.24193359
662	2	3	0	0.3	1.781	0.2473	0.978	5	0.2418594
485	2	0	0	0.5	1.821	0.2573	0.9391	4	0.24163043
369	1	2	0	0.5	1.407	0.2625	0.9168	5	0.24066
309	1	1	0	0.5	1.677	0.242	0.992	5	0.240064
536	2	0	3	0.7	1.334	0.2844	0.844	5	0.2400336
960	4	0	0	0.3	1.049	0.2628	0.9117	5	0.23959476
970	4	0	0	0.7	0.954	0.2635	0.9073	4	0.23907355
343	1	1	2	0.7	1.189	0.2609	0.9156	5	0.23888004
652	2	2	3	0.5	2.079	0.2386	1	5	0.2386
876	3	2	2	0.5	1.656	0.2494	0.9565	5	0.2385511
1371	5	2	3	0.5	1.096	0.2489	0.9584	5	0.23854576
875	3	2	2	0.5	1.251	0.3075	0.7751	5	0.23834325
861	3	2	1	0.5	1.036	0.2568	0.9267	4	0.23797656
425	1	3	0	0.5	1.381	0.2423	0.9803	5	0.23752669
709	2	3	3	0.3	1.281	0.2728	0.8689	4	0.23703592
695	2	3	2	0.5	1.996	0.237	1	5	0.237
1428	5	3	3	0.3	1.232	0.2708	0.8733	5	0.23648964
37	0	0	2	0.5	2.744	0.2362	1	4	0.2362
163	0	2	2	0.7	1.82	0.2355	1	5	0.2355
514	2	0	2	0.3	1.691	0.2351	1	5	0.2351
675	2	3	1	0.3	1.25	0.2376	0.989	5	0.2349864
694	2	3	2	0.3	1.767	0.2425	0.9672	5	0.234546
223	0	3	2	0.7	1.296	0.2365	0.9913	5	0.23444245
419	1	2	3	0.7	1.985	0.2396	0.9781	5	0.23435276
1188	4	3	3	0.3	1.057	0.285	0.8218	5	0.234213
96	0	1	2	0.5	1.828	0.2706	0.8655	5	0.2342043
858	3	2	1	0.3	1.306	0.2543	0.915	5	0.2326845
63	0	1	0	0.3	1.525	0.2948	0.7892	5	0.23265616
387	1	2	1	0.7	1.487	0.2319	1	5	0.2319
1411	5	3	2	0.3	1.972	0.2496	0.9267	5	0.23130432
476	1	3	3	0.7	1.88	0.2495	0.9244	4	0.2306378
338	1	1	2	0.5	1.479	0.2675	0.8618	4	0.2305315
107	0	1	3	0.3	1.597	0.2604	0.8848	5	0.23040192
510	2	0	2	0.3	2.125	0.2301	1	4	0.2301
1334	5	2	0	0.7	1.976	0.2405	0.9566	5	0.2300623
966	4	0	0	0.5	0.94	0.2628	0.8735	5	0.2295558
982	4	0	1	0.5	1.141	0.2455	0.9344	5	0.2293952
415	1	2	3	0.7	2.484	0.2293	1	5	0.2293
561	2	1	1	0.5	1.471	0.2292	1	5	0.2292
692	2	3	2	0.3	1.603	0.2906	0.7884	5	0.22910904
550	2	1	0	0.7	1.303	0.2288	1	5	0.2288
1328	5	2	0	0.5	1.631	0.2312	0.9892	5	0.22870304
362	1	2	0	0.3	1.245	0.2355	0.9707	5	0.22859985
870	3	2	2	0.3	1.6	0.2284	1	5	0.2284
1216	5	0	1	0.3	1.327	0.3856	0.5902	5	0.22758112
495	2	0	1	0.3	1.892	0.2397	0.949	4	0.2274753
289	1	0	3	0.3	0.998	0.2455	0.9264	5	0.2274312
943	3	3	2	0.7	1.091	0.2857	0.7952	5	0.22718864
61	0	1	0	0.3	1.551	0.2882	0.7883	5	0.22718806
388	1	2	1	0.7	1.444	0.227	1	5	0.227
166	0	2	3	0.3	1.617	0.2394	0.9459	5	0.22644846
1165	4	3	1	0.7	0.973	0.2893	0.7817	5	0.22614581
155	0	2	2	0.5	1.221	0.2507	0.9002	5	0.22568014
157	0	2	2	0.5	1.792	0.232	0.9711	4	0.2252952
1284	5	1	1	0.5	1.127	0.2495	0.9007	4	0.22472465
999	4	0	2	0.5	0.903	0.2389	0.9385	5	0.22420765
54	0	0	3	0.5	1.683	0.2237	1	5	0.2237
483	2	0	0	0.3	2.182	0.2309	0.9651	4	0.22284159
373	1	2	0	0.7	1.381	0.2425	0.9174	5	0.2224695
813	3	1	2	0.3	1.039	0.2286	0.9731	5	0.22245066
381	1	2	1	0.5	1.579	0.2303	0.9636	5	0.22191708
384	1	2	1	0.5	1.708	0.2344	0.9462	5	0.22178928
745	3	0	1	0.7	1.668	0.2311	0.9565	5	0.22104715
1354	5	2	2	0.3	1.346	0.2254	0.9806	4	0.22102724
1038	4	1	1	0.3	1.305	0.2209	1	4	0.2209
1027	4	1	0	0.5	1.733	0.2207	1	4	0.2207
170	0	2	3	0.5	2.047	0.2253	0.9783	5	0.22041099
321	1	1	1	0.5	1.39	0.2356	0.9338	5	0.22000328
242	1	0	0	0.3	1.3	0.2372	0.927	5	0.2198844
1304	5	1	2	0.7	1.191	0.2324	0.946	5	0.2198504
841	3	2	0	0.3	1.291	0.25	0.8791	4	0.219775
560	2	1	1	0.5	1.585	0.2189	1	4	0.2189
690	2	3	2	0.3	1.585	0.2939	0.744	5	0.2186616
902	3	3	0	0.3	1.635	0.2403	0.9096	5	0.21857688
835	3	1	3	0.7	1.039	0.2331	0.9356	5	0.21808836
762	3	0	2	0.7	1.947	0.2199	0.989	4	0.2174811
1367	5	2	3	0.3	1.972	0.2193	0.9913	4	0.21739209
83	0	1	1	0.5	1.654	0.2293	0.9459	5	0.21689487
710	2	3	3	0.5	1.868	0.2193	0.989	5	0.2168877
1067	4	1	3	0.3	1.41	0.219	0.9893	5	0.2166567
986	4	0	1	0.7	1.247	0.229	0.9422	5	0.2157638
1337	5	2	1	0.3	2.346	0.2204	0.9783	4	0.21561732
282	1	0	2	0.7	1.035	0.2315	0.9311	5	0.21554965
312	1	1	0	0.7	1.51	0.2172	0.9915	5	0.2153538
227	0	3	3	0.3	2.01	0.2351	0.9156	5	0.21525756
1386	5	3	0	0.5	1.925	0.2249	0.9567	5	0.21516183
1362	5	2	2	0.7	1.087	0.2339	0.9179	5	0.21469681
1317	5	1	3	0.7	1.232	0.2219	0.9672	5	0.21462168
879	3	2	2	0.5	0.957	0.2339	0.9166	5	0.21439274
567	2	1	1	0.7	1.318	0.2166	0.989	5	0.2142174
519	2	0	2	0.5	1.908	0.2141	1	4	0.2141
43	0	0	2	0.7	2.845	0.2136	1	4	0.2136
69	0	1	0	0.5	1.587	0.2673	0.7989	5	0.21354597
1021	4	1	0	0.3	1.582	0.2134	1	4	0.2134
1042	4	1	1	0.5	0.991	0.2201	0.9677	4	0.21299077
38	0	0	2	0.5	2.464	0.2127	1	5	0.2127
1077	4	1	3	0.7	1.865	0.2248	0.946	5	0.2126608
815	3	1	2	0.5	1.453	0.2158	0.9854	5	0.21264932
527	2	0	3	0.3	1.826	0.2126	1	4	0.2126
383	1	2	1	0.5	1.754	0.2125	1	5	0.2125
461	1	3	2	0.7	1.488	0.212	1	5	0.212
1054	4	1	2	0.3	1.288	0.2161	0.9802	5	0.21182122
779	3	0	3	0.7	1.741	0.2116	1	5	0.2116
1002	4	0	2	0.7	1.141	0.2303	0.9186	4	0.21155358
1036	4	1	1	0.3	1.334	0.244	0.866	5	0.211304
1313	5	1	3	0.5	1.245	0.2305	0.9151	5	0.21093055
538	2	0	3	0.7	1.354	0.23	0.9163	5	0.210749
983	4	0	1	0.5	1.315	0.2172	0.9698	5	0.21064056
920	3	3	1	0.5	1.061	0.3361	0.6257	5	0.21029777
239	0	3	3	0.7	1.304	0.2126	0.9891	5	0.21028266
493	2	0	0	0.7	1.838	0.2259	0.9297	4	0.21001923
176	0	2	3	0.7	0.985	0.2407	0.8712	5	0.20969784
240	1	0	0	0.3	1.282	0.2347	0.8906	5	0.20902382
361	1	2	0	0.3	1.066	0.213	0.9813	5	0.2090169
237	0	3	3	0.7	1.29	0.2218	0.9402	5	0.20853636
62	0	1	0	0.3	1.532	0.2765	0.7514	5	0.2077621
164	0	2	2	0.7	1.64	0.2071	1	5	0.2071
885	3	2	3	0.3	1.46	0.2187	0.9451	5	0.20669337
505	2	0	1	0.7	1.925	0.2066	1	4	0.2066
1329	5	2	0	0.5	1.951	0.2183	0.9461	5	0.20653363
1361	5	2	2	0.7	1.112	0.2077	0.9902	5	0.20566454
798	3	1	1	0.3	1.002	0.212	0.9698	5	0.2055976
40	0	0	2	0.7	2.303	0.2053	1	5	0.2053
918	3	3	1	0.3	1.094	0.3473	0.5911	5	0.20528903
823	3	1	2	0.7	0.843	0.2259	0.9087	5	0.20527533
684	2	3	1	0.5	1.569	0.2052	1	4	0.2052
724	3	0	0	0.3	1.38	0.2096	0.9788	5	0.20515648
720	3	0	0	0.3	1.263	0.2512	0.8167	5	0.20515504
763	3	0	2	0.7	1.861	0.205	1	5	0.205
569	2	1	1	0.7	1.881	0.2043	1	5	0.2043
102	0	1	2	0.7	1.616	0.2963	0.6885	5	0.20400255
681	2	3	1	0.5	2.206	0.2038	1	4	0.2038
98	0	1	2	0.5	1.813	0.2277	0.8947	5	0.20372319
534	2	0	3	0.5	1.526	0.2326	0.8729	5	0.20303654
993	4	0	2	0.3	1.085	0.2187	0.9268	5	0.20269116
194	0	3	0	0.7	1.62	0.2102	0.9608	5	0.20196016
106	0	1	3	0.3	1.449	0.2378	0.8462	5	0.20122636
954	3	3	3	0.5	1.032	0.2144	0.9377	5	0.20104288
1434	5	3	3	0.5	1.058	0.2866	0.7012	5	0.20096392
1100	4	2	1	0.5	1.842	0.2005	1	4	0.2005
531	2	0	3	0.5	1.589	0.2004	1	4	0.2004
689	2	3	1	0.7	1.496	0.2044	0.9802	5	0.20035288
47	0	0	3	0.3	2.301	0.2025	0.989	4	0.2002725
148	0	2	1	0.7	1.094	0.3333	0.5985	5	0.19948005
908	3	3	0	0.5	1.936	0.1993	1	4	0.1993
549	2	1	0	0.5	1.495	0.199	1	5	0.199
703	2	3	2	0.7	1.458	0.2008	0.989	5	0.1985912
142	0	2	1	0.5	1.624	0.2005	0.989	5	0.1982945
721	3	0	0	0.3	1.232	0.2081	0.9492	5	0.19752852
685	2	3	1	0.7	1.519	0.1975	1	5	0.1975
1246	5	0	3	0.3	1.114	0.325	0.6066	5	0.197145
340	1	1	2	0.7	1.073	0.1964	1	5	0.1964
52	0	0	3	0.5	2.086	0.1961	1	5	0.1961
235	0	3	3	0.7	1.745	0.219	0.8952	4	0.1960488
705	2	3	3	0.3	1.661	0.239	0.8187	5	0.1956693
243	1	0	0	0.3	1.264	0.2113	0.9259	5	0.19564267
1101	4	2	1	0.5	1.449	0.1956	1	4	0.1956
959	3	3	3	0.7	0.999	0.2146	0.9111	4	0.19552206
1378	5	2	3	0.7	1.293	0.2175	0.8973	5	0.19516275
978	4	0	1	0.3	1.118	0.2118	0.9201	5	0.19487718
270	1	0	2	0.3	1.246	0.2104	0.926	5	0.1948304
141	0	2	1	0.5	1.246	0.23	0.847	5	0.19481
512	2	0	2	0.3	2.223	0.1942	1	4	0.1942
553	2	1	0	0.7	2.123	0.1962	0.9896	4	0.19415952
744	3	0	1	0.5	1.703	0.2029	0.9568	5	0.19413472
1332	5	2	0	0.7	1.745	0.2006	0.9673	5	0.19404038
973	4	0	0	0.7	1.028	0.2219	0.8734	5	0.19380746
804	3	1	1	0.5	1.155	0.2053	0.9436	5	0.19372108
245	1	0	0	0.5	1.345	0.2001	0.9675	5	0.19359675
768	3	0	3	0.3	1.592	0.1979	0.978	5	0.1935462
766	3	0	3	0.3	1.455	0.1951	0.9901	5	0.19316851
599	2	1	3	0.7	1.065	0.1931	1	4	0.1931
998	4	0	2	0.5	0.909	0.2168	0.8886	5	0.19264848
195	0	3	1	0.3	1.981	0.1959	0.9812	5	0.19221708
529	2	0	3	0.3	1.484	0.2165	0.8869	4	0.19201385
112	0	1	3	0.5	1.473	0.2168	0.8853	5	0.19193304
216	0	3	2	0.5	1.36	0.2073	0.9254	5	0.19183542
228	0	3	3	0.3	2.358	0.1961	0.978	5	0.1917858
475	1	3	3	0.7	1.887	0.1915	1	5	0.1915
842	3	2	0	0.3	1.312	0.2206	0.8676	5	0.19139256
677	2	3	1	0.3	1.423	0.2171	0.8809	5	0.19124339
275	1	0	2	0.5	1.013	0.1968	0.9692	5	0.19073856
1398	5	3	1	0.3	1.697	0.2278	0.8372	5	0.19071416
1088	4	2	0	0.5	1.457	0.2568	0.7423	5	0.19062264
963	4	0	0	0.3	1.115	0.1992	0.9559	5	0.19041528
850	3	2	0	0.7	1.238	0.2125	0.8957	5	0.19033625
573	2	1	2	0.3	1.518	0.2014	0.944	4	0.1901216
911	3	3	0	0.7	2.103	0.19	1	5	0.19
1380	5	3	0	0.3	1.268	0.2225	0.8534	5	0.1898815
687	2	3	1	0.7	1.896	0.1892	1	5	0.1892
313	1	1	0	0.7	1.298	0.1966	0.9619	5	0.18910954
630	2	2	2	0.3	1.204	0.2293	0.8235	5	0.18882855
79	0	1	1	0.3	1.461	0.2791	0.6764	5	0.18878324
840	3	2	0	0.3	1.254	0.1963	0.9596	5	0.18836948
833	3	1	3	0.5	1.13	0.1984	0.9473	5	0.18794432
497	2	0	1	0.3	1.895	0.2004	0.9366	4	0.18769464
753	3	0	2	0.3	1.355	0.1897	0.989	5	0.1876133
342	1	1	2	0.7	1.351	0.2136	0.8779	5	0.18751944
